,frame_no,class_id,class_name,id,x,y,w,h
0,0,7,truck,1,576.2554321289062,377.90484619140625,54.7359619140625,68.198974609375
1,0,2,car,2,444.13818359375,410.8692626953125,83.488037109375,56.69287109375
0,1,7,truck,1,576.5325317382812,377.8663024902344,55.0816650390625,68.14599609375
1,1,2,car,2,443.28289794921875,411.0185241699219,83.04721069335938,56.6121826171875
0,2,7,truck,1,576.8333129882812,378.2867431640625,55.9732666015625,68.77304077148438
1,2,2,car,2,442.0208435058594,411.5595703125,81.44757080078125,56.067962646484375
0,3,7,truck,1,576.9405517578125,378.3257751464844,56.540771484375,68.95703125
1,3,2,car,2,441.9183349609375,411.4527587890625,81.5037841796875,55.545135498046875
0,4,7,truck,1,577.161376953125,378.27667236328125,56.58172607421875,68.83831787109375
1,4,2,car,2,442.49530029296875,411.3972473144531,81.62771606445312,55.32666015625
0,5,7,truck,1,577.38916015625,378.27984619140625,55.68658447265625,68.56008911132812
1,5,2,car,2,442.11163330078125,411.6424560546875,82.00930786132812,55.572418212890625
0,6,7,truck,1,577.72412109375,378.4688720703125,55.82696533203125,69.35903930664062
1,6,2,car,2,442.4522399902344,411.53515625,82.00994873046875,55.426666259765625
0,7,7,truck,1,578.0743408203125,378.66180419921875,55.3956298828125,69.74127197265625
1,7,2,car,2,442.4127502441406,411.528564453125,80.78643798828125,55.013580322265625
0,8,7,truck,1,578.7738037109375,378.60546875,55.47296142578125,70.41317749023438
1,8,2,car,2,440.9526672363281,411.5386047363281,79.14453125,54.98583984375
0,9,7,truck,1,579.1318359375,378.6715393066406,55.7012939453125,70.2703857421875
1,9,2,car,2,441.06805419921875,411.62103271484375,80.6322021484375,55.917266845703125
0,10,7,truck,1,579.3711547851562,378.64837646484375,55.5814208984375,69.95089721679688
1,10,2,car,2,441.700439453125,411.48486328125,81.02008056640625,56.087249755859375
0,11,7,truck,1,579.126708984375,378.7601318359375,54.99310302734375,70.2352294921875
1,11,2,car,2,441.12646484375,411.70068359375,81.5958251953125,56.478729248046875
0,12,7,truck,1,578.9124755859375,378.98956298828125,55.08770751953125,70.36154174804688
1,12,2,car,2,440.0189208984375,411.9644775390625,79.665771484375,55.916107177734375
0,13,7,truck,1,578.6412353515625,379.0818176269531,55.113525390625,70.11456298828125
1,13,2,car,2,439.1772155761719,412.234375,78.6356201171875,55.605438232421875
0,14,7,truck,1,578.768310546875,379.30322265625,55.49237060546875,70.68063354492188
1,14,2,car,2,439.0391540527344,412.7340087890625,78.50634765625,54.93035888671875
0,15,7,truck,1,578.556884765625,379.24798583984375,55.8758544921875,70.79519653320312
1,15,2,car,2,438.891845703125,412.6955261230469,80.54470825195312,55.134033203125
0,16,7,truck,1,578.461669921875,379.18194580078125,55.91229248046875,70.62115478515625
1,16,2,car,2,439.29302978515625,412.49615478515625,80.99224853515625,55.111480712890625
0,17,7,truck,1,578.4837646484375,379.1638488769531,56.42388916015625,71.12689208984375
1,17,2,car,2,438.55462646484375,412.51751708984375,81.68936157226562,55.321014404296875
0,18,7,truck,1,578.3123168945312,378.8936767578125,57.6507568359375,71.79440307617188
1,18,2,car,2,438.009765625,412.2103271484375,83.1119384765625,55.399566650390625
0,19,7,truck,1,578.2200317382812,378.53314208984375,58.8336181640625,72.44802856445312
1,19,2,car,2,436.99822998046875,412.1546630859375,84.51577758789062,56.690948486328125
0,20,7,truck,1,579.0467529296875,377.68267822265625,58.53204345703125,73.430908203125
1,20,2,car,2,434.70880126953125,411.8328857421875,84.34725952148438,57.26959228515625
0,21,7,truck,1,579.2275390625,377.7079162597656,58.1785888671875,73.623291015625
1,21,2,car,2,433.7524719238281,411.410400390625,84.07958984375,56.942230224609375
0,22,7,truck,1,579.2261962890625,377.7452087402344,57.8897705078125,73.5299072265625
1,22,2,car,2,433.74603271484375,411.1903381347656,83.85055541992188,56.60980224609375
0,23,7,truck,1,579.2464599609375,377.66534423828125,58.4376220703125,74.39999389648438
1,23,2,car,2,432.4898986816406,411.1822814941406,81.80035400390625,57.060302734375
0,24,7,truck,1,578.997314453125,377.51702880859375,59.0980224609375,75.21713256835938
1,24,2,car,2,431.7862548828125,411.659912109375,81.25094604492188,57.189300537109375
0,25,7,truck,1,578.722900390625,377.5203857421875,59.8651123046875,75.11978149414062
1,25,2,car,2,431.423828125,411.93994140625,82.02731323242188,57.432769775390625
0,26,7,truck,1,578.3326416015625,377.73162841796875,62.3199462890625,75.89495849609375
1,26,2,car,2,430.7005615234375,411.9988098144531,85.35626220703125,58.0621337890625
0,27,7,truck,1,578.197265625,377.96466064453125,63.40594482421875,76.32785034179688
1,27,2,car,2,430.7576904296875,412.36224365234375,86.57931518554688,58.87896728515625
0,28,7,truck,1,578.0111083984375,377.9168701171875,63.67138671875,76.26235961914062
1,28,2,car,2,431.1459655761719,412.20843505859375,86.59002685546875,58.8773193359375
0,29,7,truck,1,578.5570068359375,378.20074462890625,64.29010009765625,76.66888427734375
1,29,2,car,2,430.65869140625,412.80718994140625,87.51022338867188,58.693634033203125
0,30,7,truck,1,578.3598022460938,378.4644470214844,64.478271484375,76.85809326171875
1,30,2,car,2,430.00634765625,413.45916748046875,88.17276000976562,59.179351806640625
0,31,7,truck,1,577.94482421875,378.40093994140625,64.28167724609375,77.23074340820312
1,31,2,car,2,429.75872802734375,413.45196533203125,89.11911010742188,59.66680908203125
2,31,3,motorcycle,3,822.0440673828125,411.54876708984375,54.784423828125,64.5457763671875
0,32,7,truck,1,577.9406127929688,378.2329406738281,64.662353515625,78.1524658203125
1,32,2,car,2,429.09912109375,413.0689697265625,90.33377075195312,60.4798583984375
2,32,3,motorcycle,3,823.119140625,411.72564697265625,52.55157470703125,62.699127197265625
0,33,7,truck,1,577.648193359375,377.8027648925781,64.35150146484375,78.29156494140625
1,33,2,car,2,427.86883544921875,412.813720703125,92.00405883789062,61.1092529296875
2,33,3,motorcycle,3,822.822998046875,411.37750244140625,52.39569091796875,61.620635986328125
0,34,7,truck,1,577.4013671875,377.6574401855469,64.009033203125,77.9251708984375
1,34,2,car,2,427.59613037109375,412.7261962890625,92.14993286132812,61.1300048828125
2,34,3,motorcycle,3,822.0804443359375,411.3394775390625,52.2701416015625,61.54254150390625
0,35,7,truck,1,577.4305419921875,377.4096984863281,64.93353271484375,77.96783447265625
1,35,2,car,2,426.26312255859375,412.9747009277344,94.92279052734375,62.0440673828125
2,35,3,motorcycle,3,823.0219116210938,411.96099853515625,51.490234375,60.362548828125
0,36,7,truck,1,577.4534912109375,377.124267578125,65.1495361328125,78.40988159179688
1,36,2,car,2,425.1600341796875,412.7952880859375,96.364501953125,62.5775146484375
2,36,3,motorcycle,3,824.2950439453125,412.90899658203125,51.8673095703125,58.698974609375
0,37,7,truck,1,577.4581298828125,377.197265625,65.14752197265625,79.28518676757812
1,37,2,car,2,424.1846008300781,412.96441650390625,96.87493896484375,63.176422119140625
2,37,3,motorcycle,3,825.3419189453125,412.28265380859375,52.38958740234375,59.498016357421875
0,38,7,truck,1,577.0715942382812,377.2156677246094,65.4075927734375,80.3050537109375
1,38,2,car,2,422.8695983886719,413.20477294921875,97.3343505859375,63.91510009765625
2,38,0,person,3,826.3978271484375,402.64398193359375,53.19476318359375,75.69927978515625
0,39,7,truck,1,576.663330078125,377.3487548828125,65.70196533203125,81.169189453125
1,39,2,car,2,422.0013427734375,413.326416015625,98.56039428710938,63.996917724609375
2,39,0,person,3,826.7820434570312,398.152099609375,53.7305908203125,82.4049072265625
0,40,7,truck,1,576.334228515625,377.33740234375,65.50335693359375,81.16409301757812
1,40,2,car,2,422.0335693359375,413.1850891113281,98.7239990234375,63.7933349609375
2,40,0,person,3,825.953125,396.4801025390625,53.59429931640625,83.85153198242188
0,41,7,truck,1,576.3971557617188,377.44085693359375,65.8480224609375,81.92144775390625
1,41,2,car,2,421.005615234375,413.6435852050781,99.41921997070312,63.389404296875
2,41,0,person,3,827.3682861328125,391.71600341796875,53.79718017578125,92.32766723632812
0,42,7,truck,1,576.468505859375,377.0982666015625,66.10888671875,82.39639282226562
1,42,2,car,2,420.1949768066406,413.70416259765625,99.4090576171875,63.144378662109375
2,42,0,person,3,828.2017822265625,387.2193603515625,52.828125,98.18252563476562
0,43,7,truck,1,576.4122314453125,376.99261474609375,65.9835205078125,83.28842163085938
1,43,2,car,2,419.2149658203125,413.3714599609375,99.23568725585938,63.566009521484375
2,43,0,person,3,829.3941650390625,381.930908203125,55.59197998046875,107.31698608398438
0,44,7,truck,1,577.057861328125,376.611572265625,66.55596923828125,84.03750610351562
1,44,2,car,2,417.8224792480469,412.9110107421875,99.34686279296875,64.373291015625
2,44,0,person,3,829.7085571289062,381.08648681640625,55.3797607421875,99.53878784179688
0,45,7,truck,1,576.9144287109375,376.33709716796875,66.92779541015625,83.46414184570312
1,45,2,car,2,417.13763427734375,412.58673095703125,98.70565795898438,64.67901611328125
2,45,0,person,3,829.8658447265625,383.77587890625,55.96783447265625,99.8951416015625
0,46,7,truck,1,576.5784912109375,376.2082214355469,66.8297119140625,82.8634033203125
1,46,2,car,2,417.0668029785156,412.2449645996094,97.9959716796875,64.48480224609375
2,46,0,person,3,828.9144287109375,384.84088134765625,55.84832763671875,99.97976684570312
0,47,7,truck,1,576.72119140625,376.3578186035156,66.20977783203125,83.0687255859375
1,47,2,car,2,416.03924560546875,412.3589782714844,99.21966552734375,65.12066650390625
2,47,0,person,3,831.0173950195312,385.15765380859375,56.689697265625,101.3829345703125
0,48,7,truck,1,576.9892578125,376.7088623046875,65.72784423828125,83.397216796875
1,48,2,car,2,413.70245361328125,412.39031982421875,99.109130859375,65.6512451171875
2,48,0,person,3,832.3636474609375,383.9231262207031,56.07672119140625,97.5689697265625
0,49,7,truck,1,577.174072265625,376.68597412109375,66.02777099609375,83.80548095703125
1,49,2,car,2,412.0484619140625,412.5799865722656,100.35140991210938,66.15185546875
2,49,0,person,3,832.718017578125,382.8253173828125,54.7122802734375,93.91473388671875
0,50,7,truck,1,577.363037109375,375.9542236328125,65.93096923828125,82.81289672851562
1,50,2,car,2,411.036376953125,413.6415100097656,104.71310424804688,66.68731689453125
0,51,7,truck,1,577.5360717773438,375.2041320800781,65.863525390625,82.43768310546875
1,51,2,car,2,409.48162841796875,413.390380859375,103.67465209960938,66.61923217773438
0,52,7,truck,1,577.279541015625,374.9664611816406,65.62713623046875,81.9619140625
1,52,2,car,2,409.20562744140625,413.1908264160156,103.19155883789062,66.30950927734375
0,53,7,truck,1,577.7521362304688,375.3958740234375,66.058349609375,83.6490478515625
1,53,2,car,2,408.2584228515625,413.19403076171875,104.43380737304688,67.01333618164062
0,54,7,truck,1,577.9638671875,375.68609619140625,66.47576904296875,85.38076782226562
1,54,2,car,2,407.8382873535156,413.014404296875,106.1561279296875,67.49771118164062
0,55,7,truck,1,578.2255249023438,374.22900390625,66.9100341796875,85.43096923828125
1,55,2,car,2,407.4237365722656,413.57598876953125,109.16741943359375,68.66549682617188
0,56,5,bus,1,578.2550048828125,373.80450439453125,68.54400634765625,87.64767456054688
1,56,2,car,2,406.27655029296875,413.6661071777344,110.77523803710938,69.53033447265625
0,57,5,bus,1,578.2178955078125,373.37982177734375,68.90826416015625,88.66937255859375
1,57,2,car,2,404.5119934082031,413.8807678222656,113.47576904296875,70.3037109375
0,58,5,bus,1,577.8713989257812,373.18499755859375,68.783935546875,88.74380493164062
1,58,2,car,2,403.9854736328125,413.7486572265625,114.01028442382812,70.35202026367188
2,58,2,car,5,496.3963623046875,389.9242858886719,39.297027587890625,31.89166259765625
0,59,5,bus,1,578.1705932617188,372.77288818359375,69.1812744140625,89.04757690429688
1,59,2,car,2,403.04345703125,414.0596923828125,115.92733764648438,71.04449462890625
2,59,2,car,5,495.7095642089844,389.8463439941406,40.14947509765625,32.5767822265625
0,60,5,bus,1,578.3131103515625,372.1514892578125,69.4290771484375,87.7335205078125
1,60,2,car,2,401.90435791015625,414.25994873046875,115.56381225585938,71.06765747070312
2,60,2,car,5,495.3189697265625,389.1990966796875,40.523406982421875,34.04058837890625
0,61,5,bus,1,578.227294921875,371.7347412109375,69.9410400390625,87.28948974609375
1,61,2,car,2,401.52392578125,414.552490234375,115.89254760742188,71.7342529296875
2,61,2,car,5,494.9315490722656,389.0186462402344,41.30023193359375,34.37982177734375
0,62,7,truck,1,578.324462890625,371.6854248046875,70.70709228515625,88.27374267578125
1,62,2,car,2,401.4389343261719,414.77349853515625,117.28436279296875,72.52761840820312
2,62,2,car,5,494.47320556640625,389.5438232421875,41.811248779296875,33.99420166015625
0,63,5,bus,1,577.9520263671875,372.15936279296875,71.63604736328125,89.73513793945312
1,63,2,car,2,400.65118408203125,414.69647216796875,118.13778686523438,72.69546508789062
2,63,2,car,5,493.83697509765625,390.00457763671875,42.614990234375,33.949737548828125
0,64,5,bus,1,577.5243530273438,372.21636962890625,71.79150390625,90.00576782226562
1,64,2,car,2,400.71954345703125,414.432861328125,118.18856811523438,72.49575805664062
2,64,2,car,5,493.60931396484375,390.06365966796875,42.7801513671875,33.925048828125
0,65,5,bus,1,577.489501953125,372.911865234375,72.73291015625,92.13980102539062
1,65,2,car,2,399.1503601074219,415.16094970703125,118.7060546875,72.86734008789062
2,65,2,car,5,493.2427978515625,390.2645263671875,43.049346923828125,33.628448486328125
0,66,7,truck,1,577.3001708984375,373.3975524902344,73.50030517578125,93.86956787109375
1,66,2,car,2,397.8293762207031,415.53607177734375,119.6038818359375,73.2037353515625
2,66,2,car,5,492.8474426269531,390.5362548828125,43.70452880859375,33.48895263671875
0,67,7,truck,1,577.23046875,373.421142578125,74.139892578125,95.06912231445312
1,67,2,car,2,396.4459228515625,415.60430908203125,119.3878173828125,73.41940307617188
2,67,2,car,5,492.29522705078125,390.68707275390625,44.419158935546875,32.983551025390625
0,68,7,truck,1,577.0469970703125,373.58843994140625,74.71124267578125,97.083740234375
1,68,2,car,2,394.52593994140625,415.8267822265625,122.04177856445312,74.33291625976562
2,68,2,car,5,491.2071533203125,390.54595947265625,45.553314208984375,33.61383056640625
0,69,7,truck,1,576.7830810546875,373.54620361328125,74.93377685546875,97.58633422851562
1,69,2,car,2,393.80072021484375,416.1575927734375,122.81396484375,74.73416137695312
2,69,2,car,5,490.04205322265625,390.73016357421875,46.8355712890625,33.747161865234375
0,70,7,truck,1,576.44482421875,373.5441589355469,74.69854736328125,97.62347412109375
1,70,2,car,2,393.87548828125,416.244140625,122.87088012695312,75.12075805664062
2,70,2,car,5,489.604736328125,390.6759033203125,47.0780029296875,33.812103271484375
0,71,7,truck,1,576.523193359375,373.38134765625,74.95404052734375,98.28726196289062
1,71,2,car,2,392.06646728515625,416.93450927734375,121.82528686523438,74.91543579101562
2,71,2,car,5,489.08843994140625,390.6336364746094,48.0712890625,34.714599609375
0,72,7,truck,1,575.9854736328125,373.2676086425781,75.53253173828125,98.89599609375
1,72,2,car,2,391.64935302734375,417.341064453125,124.64944458007812,76.23501586914062
2,72,2,car,5,488.8555908203125,390.8340148925781,49.339447021484375,34.90020751953125
0,73,7,truck,1,575.6218872070312,373.1571350097656,76.1998291015625,99.5460205078125
1,73,2,car,2,390.4444274902344,417.2484436035156,125.2320556640625,76.4063720703125
2,73,2,car,5,488.59173583984375,390.9449157714844,49.752197265625,35.07373046875
0,74,7,truck,1,575.5300903320312,373.2300720214844,77.6773681640625,100.8729248046875
1,74,2,car,2,387.7556457519531,418.00555419921875,126.5760498046875,76.35260009765625
2,74,2,car,5,487.2965393066406,391.3377685546875,49.65814208984375,35.548248291015625
0,75,7,truck,1,576.0384521484375,372.94940185546875,77.74542236328125,101.30526733398438
1,75,2,car,2,385.88885498046875,418.3870849609375,126.64767456054688,75.82608032226562
2,75,2,car,5,486.07537841796875,391.318115234375,47.720123291015625,37.75592041015625
0,76,7,truck,1,576.072021484375,372.7913818359375,77.73455810546875,101.17245483398438
1,76,2,car,2,385.0552978515625,418.4149169921875,125.50689697265625,75.69223022460938
2,76,2,car,5,485.6558837890625,391.161865234375,46.909942626953125,38.650146484375
0,77,7,truck,1,575.45947265625,372.400146484375,78.40887451171875,99.84408569335938
